"","County","State","Year","Income_per_Capita","Unit","Multiplier"
"434","San Diego","CA",2005,41457,"Dollars",0
"435","San Diego","CA",2006,43473,"Dollars",0
"436","San Diego","CA",2007,44352,"Dollars",0
"437","San Diego","CA",2008,44776,"Dollars",0
"438","San Diego","CA",2009,42884,"Dollars",0
"439","San Diego","CA",2010,43889,"Dollars",0
"440","San Diego","CA",2011,46113,"Dollars",0
"441","San Diego","CA",2012,47700,"Dollars",0
"442","San Diego","CA",2013,48645,"Dollars",0
"443","San Diego","CA",2014,50915,"Dollars",0
"444","San Diego","CA",2015,53357,"Dollars",0
"445","San Francisco","CA",2014,96047,"Dollars",0
"446","San Francisco","CA",2013,87302,"Dollars",0
"447","San Francisco","CA",2012,86583,"Dollars",0
"448","San Francisco","CA",2011,79899,"Dollars",0
"449","San Francisco","CA",2010,75267,"Dollars",0
"450","San Francisco","CA",2009,71500,"Dollars",0
"451","San Francisco","CA",2008,74712,"Dollars",0
"452","San Francisco","CA",2007,74402,"Dollars",0
"453","San Francisco","CA",2006,71398,"Dollars",0
"454","San Francisco","CA",2005,64790,"Dollars",0
"455","San Francisco","CA",2004,59294,"Dollars",0
"456","San Francisco","CA",2015,103625,"Dollars",0
"457","San Joaquin","CA",2004,28715,"Dollars",0
"458","San Joaquin","CA",2005,29693,"Dollars",0
"459","San Joaquin","CA",2006,31082,"Dollars",0
"460","San Joaquin","CA",2007,31964,"Dollars",0
"461","San Joaquin","CA",2008,32003,"Dollars",0
"462","San Joaquin","CA",2009,31955,"Dollars",0
"463","San Joaquin","CA",2010,32597,"Dollars",0
"464","San Joaquin","CA",2011,32947,"Dollars",0
"465","San Joaquin","CA",2012,33631,"Dollars",0
"466","San Joaquin","CA",2013,34791,"Dollars",0
"467","San Joaquin","CA",2014,36290,"Dollars",0
"468","San Joaquin","CA",2015,38463,"Dollars",0
"469","San Luis Obispo","CA",2004,34151,"Dollars",0
"470","San Luis Obispo","CA",2005,35336,"Dollars",0
"471","San Luis Obispo","CA",2006,37745,"Dollars",0
"472","San Luis Obispo","CA",2007,39634,"Dollars",0
"473","San Luis Obispo","CA",2008,39504,"Dollars",0
"474","San Luis Obispo","CA",2009,39021,"Dollars",0
"475","San Luis Obispo","CA",2010,40064,"Dollars",0
"476","San Luis Obispo","CA",2011,42219,"Dollars",0
"477","San Luis Obispo","CA",2012,43666,"Dollars",0
"478","San Luis Obispo","CA",2013,44771,"Dollars",0
"479","San Luis Obispo","CA",2014,47054,"Dollars",0
"480","San Luis Obispo","CA",2015,49914,"Dollars",0
"481","San Mateo","CA",2004,59805,"Dollars",0
"482","San Mateo","CA",2005,64351,"Dollars",0
"483","San Mateo","CA",2006,71196,"Dollars",0
"484","San Mateo","CA",2007,75009,"Dollars",0
"485","San Mateo","CA",2008,74407,"Dollars",0
"486","San Mateo","CA",2009,71230,"Dollars",0
"487","San Mateo","CA",2010,73095,"Dollars",0
"488","San Mateo","CA",2011,78684,"Dollars",0
"489","San Mateo","CA",2012,86408,"Dollars",0
"490","San Mateo","CA",2013,85557,"Dollars",0
"491","San Mateo","CA",2014,90760,"Dollars",0
"492","San Mateo","CA",2015,99076,"Dollars",0
"493","Santa Barbara","CA",2004,39165,"Dollars",0
"494","Santa Barbara","CA",2005,41163,"Dollars",0
"495","Santa Barbara","CA",2006,44226,"Dollars",0
"496","Santa Barbara","CA",2007,45186,"Dollars",0
"497","Santa Barbara","CA",2008,45037,"Dollars",0
"498","Santa Barbara","CA",2009,43923,"Dollars",0
"499","Santa Barbara","CA",2010,45155,"Dollars",0
"500","Santa Barbara","CA",2011,47840,"Dollars",0
"501","Santa Barbara","CA",2012,49987,"Dollars",0
"502","Santa Barbara","CA",2013,49091,"Dollars",0
"503","Santa Barbara","CA",2014,51447,"Dollars",0
"504","Santa Barbara","CA",2015,54318,"Dollars",0
"505","Santa Clara","CA",2013,71593,"Dollars",0
"506","Santa Clara","CA",2014,77059,"Dollars",0
"507","Santa Clara","CA",2015,83773,"Dollars",0
"508","Santa Clara","CA",2004,50509,"Dollars",0
"509","Santa Clara","CA",2005,52884,"Dollars",0
"510","Santa Clara","CA",2006,57611,"Dollars",0
"511","Santa Clara","CA",2007,61760,"Dollars",0
"512","Santa Clara","CA",2008,60928,"Dollars",0
"513","Santa Clara","CA",2009,56816,"Dollars",0
"514","Santa Clara","CA",2010,60863,"Dollars",0
"515","Santa Clara","CA",2011,65684,"Dollars",0
"516","Santa Clara","CA",2012,71690,"Dollars",0
"517","Santa Cruz","CA",2013,52252,"Dollars",0
"518","Santa Cruz","CA",2014,54072,"Dollars",0
"519","Santa Cruz","CA",2015,56902,"Dollars",0
"520","Santa Cruz","CA",2004,41075,"Dollars",0
"521","Santa Cruz","CA",2005,41417,"Dollars",0
"522","Santa Cruz","CA",2006,43669,"Dollars",0
"523","Santa Cruz","CA",2007,45656,"Dollars",0
"524","Santa Cruz","CA",2008,46666,"Dollars",0
"525","Santa Cruz","CA",2009,45308,"Dollars",0
"526","Santa Cruz","CA",2010,48843,"Dollars",0
"527","Santa Cruz","CA",2011,49290,"Dollars",0
"528","Santa Cruz","CA",2012,51725,"Dollars",0
"529","Shasta","CA",2013,35799,"Dollars",0
"530","Shasta","CA",2014,37909,"Dollars",0
"531","Shasta","CA",2015,40252,"Dollars",0
"532","Shasta","CA",2004,28875,"Dollars",0
"533","Shasta","CA",2005,29352,"Dollars",0
"534","Shasta","CA",2006,31302,"Dollars",0
"535","Shasta","CA",2007,32582,"Dollars",0
"536","Shasta","CA",2008,32669,"Dollars",0
"537","Shasta","CA",2009,33096,"Dollars",0
"538","Shasta","CA",2010,34493,"Dollars",0
"539","Shasta","CA",2011,34982,"Dollars",0
"540","Shasta","CA",2012,35512,"Dollars",0
"541","Sierra","CA",2013,35366,"Dollars",0
"542","Sierra","CA",2014,37111,"Dollars",0
"543","Sierra","CA",2015,36501,"Dollars",0
"544","Sierra","CA",2004,25664,"Dollars",0
"545","Sierra","CA",2005,26237,"Dollars",0
