"","County","State","Year","Income_per_Capita","Unit","Multiplier"
"273","Grand","CO",2012,37115,"Dollars",0
"274","Grand","CO",2013,42079,"Dollars",0
"275","Grand","CO",2014,43168,"Dollars",0
"276","Grand","CO",2015,46226,"Dollars",0
"277","Gunnison","CO",2004,29292,"Dollars",0
"278","Gunnison","CO",2015,42531,"Dollars",0
"279","Gunnison","CO",2014,40782,"Dollars",0
"280","Gunnison","CO",2013,38158,"Dollars",0
"281","Gunnison","CO",2012,36371,"Dollars",0
"282","Gunnison","CO",2011,37210,"Dollars",0
"283","Gunnison","CO",2010,34097,"Dollars",0
"284","Gunnison","CO",2009,35153,"Dollars",0
"285","Gunnison","CO",2008,36545,"Dollars",0
"286","Gunnison","CO",2007,35226,"Dollars",0
"287","Gunnison","CO",2006,33576,"Dollars",0
"288","Gunnison","CO",2005,31177,"Dollars",0
"289","Hinsdale","CO",2013,39175,"Dollars",0
"290","Hinsdale","CO",2014,42366,"Dollars",0
"291","Hinsdale","CO",2015,44615,"Dollars",0
"292","Hinsdale","CO",2004,26351,"Dollars",0
"293","Hinsdale","CO",2005,29582,"Dollars",0
"294","Hinsdale","CO",2006,28147,"Dollars",0
"295","Hinsdale","CO",2007,29125,"Dollars",0
"296","Hinsdale","CO",2008,33707,"Dollars",0
"297","Hinsdale","CO",2009,35321,"Dollars",0
"298","Hinsdale","CO",2010,35750,"Dollars",0
"299","Hinsdale","CO",2011,41757,"Dollars",0
"300","Hinsdale","CO",2012,38945,"Dollars",0
"301","Huerfano","CO",2005,23071,"Dollars",0
"302","Huerfano","CO",2004,22087,"Dollars",0
"303","Huerfano","CO",2015,36764,"Dollars",0
"304","Huerfano","CO",2014,35288,"Dollars",0
"305","Huerfano","CO",2013,33513,"Dollars",0
"306","Huerfano","CO",2012,32754,"Dollars",0
"307","Huerfano","CO",2011,31328,"Dollars",0
"308","Huerfano","CO",2010,29856,"Dollars",0
"309","Huerfano","CO",2009,29127,"Dollars",0
"310","Huerfano","CO",2008,28406,"Dollars",0
"311","Huerfano","CO",2007,27404,"Dollars",0
"312","Huerfano","CO",2006,25131,"Dollars",0
"313","Jackson","CO",2013,40139,"Dollars",0
"314","Jackson","CO",2014,42528,"Dollars",0
"315","Jackson","CO",2015,48264,"Dollars",0
"316","Jackson","CO",2004,26633,"Dollars",0
"317","Jackson","CO",2005,30777,"Dollars",0
"318","Jackson","CO",2006,32823,"Dollars",0
"319","Jackson","CO",2007,34803,"Dollars",0
"320","Jackson","CO",2008,34425,"Dollars",0
"321","Jackson","CO",2009,35667,"Dollars",0
"322","Jackson","CO",2010,37634,"Dollars",0
"323","Jackson","CO",2011,40283,"Dollars",0
"324","Jackson","CO",2012,35513,"Dollars",0
"325","Kiowa","CO",2004,29638,"Dollars",0
"326","Kiowa","CO",2005,30744,"Dollars",0
"327","Kiowa","CO",2006,26773,"Dollars",0
"328","Kiowa","CO",2007,43500,"Dollars",0
"329","Kiowa","CO",2008,37221,"Dollars",0
"330","Kiowa","CO",2009,39213,"Dollars",0
"331","Kiowa","CO",2010,43547,"Dollars",0
"332","Kiowa","CO",2011,49778,"Dollars",0
"333","Kiowa","CO",2012,50475,"Dollars",0
"334","Kiowa","CO",2013,66017,"Dollars",0
"335","Kiowa","CO",2014,55418,"Dollars",0
"336","Kiowa","CO",2015,45816,"Dollars",0
"337","Kit Carson","CO",2013,35160,"Dollars",0
"338","Kit Carson","CO",2014,35889,"Dollars",0
"339","Kit Carson","CO",2015,34622,"Dollars",0
"340","Kit Carson","CO",2004,26215,"Dollars",0
"341","Kit Carson","CO",2005,27655,"Dollars",0
"342","Kit Carson","CO",2006,24948,"Dollars",0
"343","Kit Carson","CO",2007,30633,"Dollars",0
"344","Kit Carson","CO",2008,31865,"Dollars",0
"345","Kit Carson","CO",2009,30575,"Dollars",0
"346","Kit Carson","CO",2010,34558,"Dollars",0
"347","Kit Carson","CO",2011,35517,"Dollars",0
"348","Kit Carson","CO",2012,35140,"Dollars",0
"349","Lake","CO",2013,30430,"Dollars",0
"350","Lake","CO",2014,31917,"Dollars",0
"351","Lake","CO",2015,33397,"Dollars",0
"352","Lake","CO",2004,23911,"Dollars",0
"353","Lake","CO",2005,25063,"Dollars",0
"354","Lake","CO",2006,26790,"Dollars",0
"355","Lake","CO",2007,27548,"Dollars",0
"356","Lake","CO",2008,29399,"Dollars",0
"357","Lake","CO",2009,27630,"Dollars",0
"358","Lake","CO",2010,27188,"Dollars",0
"359","Lake","CO",2011,29354,"Dollars",0
"360","Lake","CO",2012,29312,"Dollars",0
"361","La Plata","CO",2013,51182,"Dollars",0
"362","La Plata","CO",2014,53478,"Dollars",0
"363","La Plata","CO",2015,53757,"Dollars",0
"364","La Plata","CO",2004,33660,"Dollars",0
"365","La Plata","CO",2005,35879,"Dollars",0
"366","La Plata","CO",2006,38635,"Dollars",0
"367","La Plata","CO",2007,41205,"Dollars",0
"368","La Plata","CO",2008,44857,"Dollars",0
"369","La Plata","CO",2009,42169,"Dollars",0
"370","La Plata","CO",2010,42040,"Dollars",0
"371","La Plata","CO",2011,43370,"Dollars",0
"372","La Plata","CO",2012,45631,"Dollars",0
"373","Larimer","CO",2004,32719,"Dollars",0
"374","Larimer","CO",2005,33972,"Dollars",0
"375","Larimer","CO",2006,35739,"Dollars",0
"376","Larimer","CO",2007,37666,"Dollars",0
"377","Larimer","CO",2008,38301,"Dollars",0
"378","Larimer","CO",2009,37027,"Dollars",0
"379","Larimer","CO",2010,37474,"Dollars",0
"380","Larimer","CO",2011,39109,"Dollars",0
"381","Larimer","CO",2012,40768,"Dollars",0
"382","Larimer","CO",2013,42294,"Dollars",0
"383","Larimer","CO",2014,44658,"Dollars",0
"384","Larimer","CO",2015,46451,"Dollars",0
"385","Las Animas","CO",2013,33043,"Dollars",0
"386","Las Animas","CO",2014,35277,"Dollars",0
"387","Las Animas","CO",2015,34653,"Dollars",0
"388","Las Animas","CO",2004,24566,"Dollars",0
"389","Las Animas","CO",2005,25952,"Dollars",0
"390","Las Animas","CO",2006,27595,"Dollars",0
"391","Las Animas","CO",2007,28778,"Dollars",0
"392","Las Animas","CO",2008,29675,"Dollars",0
"393","Las Animas","CO",2009,27613,"Dollars",0
"394","Las Animas","CO",2010,28371,"Dollars",0
"395","Las Animas","CO",2011,30014,"Dollars",0
"396","Las Animas","CO",2012,30998,"Dollars",0
"397","Lincoln","CO",2013,25521,"Dollars",0
"398","Lincoln","CO",2014,28520,"Dollars",0
"399","Lincoln","CO",2015,27766,"Dollars",0
"400","Lincoln","CO",2004,21330,"Dollars",0
"401","Lincoln","CO",2005,22116,"Dollars",0
"402","Lincoln","CO",2006,21605,"Dollars",0
"403","Lincoln","CO",2007,25519,"Dollars",0
"404","Lincoln","CO",2008,25099,"Dollars",0
"405","Lincoln","CO",2009,26549,"Dollars",0
"406","Lincoln","CO",2010,26346,"Dollars",0
"407","Lincoln","CO",2011,27583,"Dollars",0
"408","Lincoln","CO",2012,26765,"Dollars",0
"409","Logan","CO",2013,44567,"Dollars",0
"410","Logan","CO",2014,46331,"Dollars",0
"411","Logan","CO",2015,47973,"Dollars",0
"412","Logan","CO",2004,26109,"Dollars",0
"413","Logan","CO",2005,27583,"Dollars",0
"414","Logan","CO",2006,29413,"Dollars",0
"415","Logan","CO",2007,33330,"Dollars",0
"416","Logan","CO",2008,37120,"Dollars",0
"417","Logan","CO",2009,33843,"Dollars",0
"418","Logan","CO",2010,34314,"Dollars",0
"419","Logan","CO",2011,39143,"Dollars",0
"420","Logan","CO",2012,42523,"Dollars",0
"421","Mesa","CO",2013,37443,"Dollars",0
"422","Mesa","CO",2014,39589,"Dollars",0
"423","Mesa","CO",2015,40302,"Dollars",0
"424","Mesa","CO",2004,28695,"Dollars",0
"425","Mesa","CO",2005,30470,"Dollars",0
"426","Mesa","CO",2006,32669,"Dollars",0
"427","Mesa","CO",2007,35446,"Dollars",0
"428","Mesa","CO",2008,38775,"Dollars",0
"429","Mesa","CO",2009,34819,"Dollars",0
"430","Mesa","CO",2010,34343,"Dollars",0
"431","Mesa","CO",2011,35645,"Dollars",0
"432","Mesa","CO",2012,36961,"Dollars",0
"433","Mineral","CO",2004,29846,"Dollars",0
"434","Mineral","CO",2005,30865,"Dollars",0
"435","Mineral","CO",2006,33212,"Dollars",0
"436","Mineral","CO",2007,33235,"Dollars",0
"437","Mineral","CO",2008,39050,"Dollars",0
"438","Mineral","CO",2009,43507,"Dollars",0
"439","Mineral","CO",2010,41960,"Dollars",0
"440","Mineral","CO",2011,50322,"Dollars",0
"441","Mineral","CO",2012,47395,"Dollars",0
"442","Mineral","CO",2013,51066,"Dollars",0
"443","Mineral","CO",2014,55140,"Dollars",0
"444","Mineral","CO",2015,56956,"Dollars",0
"445","Moffat","CO",2004,27960,"Dollars",0
"446","Moffat","CO",2015,39723,"Dollars",0
"447","Moffat","CO",2014,39963,"Dollars",0
"448","Moffat","CO",2013,38652,"Dollars",0
"449","Moffat","CO",2012,37588,"Dollars",0
"450","Moffat","CO",2011,36107,"Dollars",0
"451","Moffat","CO",2010,33169,"Dollars",0
"452","Moffat","CO",2009,35223,"Dollars",0
"453","Moffat","CO",2008,34761,"Dollars",0
"454","Moffat","CO",2007,34864,"Dollars",0
"455","Moffat","CO",2006,32668,"Dollars",0
"456","Moffat","CO",2005,30980,"Dollars",0
"457","Montezuma","CO",2004,25218,"Dollars",0
"458","Montezuma","CO",2005,26852,"Dollars",0
"459","Montezuma","CO",2006,28243,"Dollars",0
"460","Montezuma","CO",2007,30576,"Dollars",0
"461","Montezuma","CO",2008,31802,"Dollars",0
"462","Montezuma","CO",2009,31171,"Dollars",0
"463","Montezuma","CO",2010,30980,"Dollars",0
"464","Montezuma","CO",2011,33248,"Dollars",0
"465","Montezuma","CO",2012,33987,"Dollars",0
"466","Montezuma","CO",2013,35713,"Dollars",0
"467","Montezuma","CO",2014,39636,"Dollars",0
"468","Montezuma","CO",2015,40507,"Dollars",0
"469","Montrose","CO",2013,32326,"Dollars",0
"470","Montrose","CO",2014,34363,"Dollars",0
"471","Montrose","CO",2015,36346,"Dollars",0
"472","Montrose","CO",2004,26369,"Dollars",0
"473","Montrose","CO",2005,28659,"Dollars",0
"474","Montrose","CO",2006,29515,"Dollars",0
"475","Montrose","CO",2007,30822,"Dollars",0
"476","Montrose","CO",2008,31702,"Dollars",0
"477","Montrose","CO",2009,30427,"Dollars",0
"478","Montrose","CO",2010,29833,"Dollars",0
"479","Montrose","CO",2011,31094,"Dollars",0
"480","Montrose","CO",2012,31937,"Dollars",0
"481","Morgan","CO",2013,36067,"Dollars",0
"482","Morgan","CO",2014,39395,"Dollars",0
"483","Morgan","CO",2015,40411,"Dollars",0
"484","Morgan","CO",2004,25111,"Dollars",0
"485","Morgan","CO",2005,25940,"Dollars",0
"486","Morgan","CO",2006,26483,"Dollars",0
"487","Morgan","CO",2007,27474,"Dollars",0
"488","Morgan","CO",2008,29228,"Dollars",0
"489","Morgan","CO",2009,27673,"Dollars",0
"490","Morgan","CO",2010,30795,"Dollars",0
"491","Morgan","CO",2011,33996,"Dollars",0
"492","Morgan","CO",2012,35407,"Dollars",0
"493","Otero","CO",2013,30672,"Dollars",0
"494","Otero","CO",2014,32116,"Dollars",0
"495","Otero","CO",2015,33614,"Dollars",0
"496","Otero","CO",2004,24939,"Dollars",0
"497","Otero","CO",2005,26450,"Dollars",0
"498","Otero","CO",2006,26607,"Dollars",0
"499","Otero","CO",2007,28126,"Dollars",0
"500","Otero","CO",2008,28359,"Dollars",0
"501","Otero","CO",2009,28018,"Dollars",0
"502","Otero","CO",2010,28961,"Dollars",0
"503","Otero","CO",2011,30148,"Dollars",0
"504","Otero","CO",2012,30371,"Dollars",0
"505","Ouray","CO",2013,47427,"Dollars",0
"506","Ouray","CO",2014,50920,"Dollars",0
"507","Ouray","CO",2015,53828,"Dollars",0
"508","Ouray","CO",2004,38926,"Dollars",0
"509","Ouray","CO",2005,38870,"Dollars",0
"510","Ouray","CO",2006,43044,"Dollars",0
"511","Ouray","CO",2007,45263,"Dollars",0
"512","Ouray","CO",2008,43868,"Dollars",0
"513","Ouray","CO",2009,42292,"Dollars",0
"514","Ouray","CO",2010,38579,"Dollars",0
"515","Ouray","CO",2011,42246,"Dollars",0
"516","Ouray","CO",2012,43605,"Dollars",0
"517","Park","CO",2013,37000,"Dollars",0
"518","Park","CO",2014,38291,"Dollars",0
"519","Park","CO",2015,41345,"Dollars",0
"520","Park","CO",2004,30545,"Dollars",0
"521","Park","CO",2005,31509,"Dollars",0
"522","Park","CO",2006,32266,"Dollars",0
"523","Park","CO",2007,32826,"Dollars",0
"524","Park","CO",2008,34274,"Dollars",0
"525","Park","CO",2009,33188,"Dollars",0
"526","Park","CO",2010,32480,"Dollars",0
"527","Park","CO",2011,35755,"Dollars",0
"528","Park","CO",2012,36299,"Dollars",0
"529","Phillips","CO",2013,38127,"Dollars",0
"530","Phillips","CO",2014,37575,"Dollars",0
"531","Phillips","CO",2015,37134,"Dollars",0
"532","Phillips","CO",2004,25009,"Dollars",0
"533","Phillips","CO",2005,25380,"Dollars",0
"534","Phillips","CO",2006,24385,"Dollars",0
"535","Phillips","CO",2007,30971,"Dollars",0
"536","Phillips","CO",2008,33671,"Dollars",0
"537","Phillips","CO",2009,34580,"Dollars",0
"538","Phillips","CO",2010,35971,"Dollars",0
"539","Phillips","CO",2011,42858,"Dollars",0
"540","Phillips","CO",2012,40046,"Dollars",0
"541","Pitkin","CO",2004,85400,"Dollars",0
"542","Pitkin","CO",2005,95630,"Dollars",0
"543","Pitkin","CO",2006,107329,"Dollars",0
"544","Pitkin","CO",2007,121304,"Dollars",0
"545","Pitkin","CO",2008,119065,"Dollars",0
"546","Pitkin","CO",2009,89420,"Dollars",0
"547","Pitkin","CO",2010,87923,"Dollars",0
"548","Pitkin","CO",2011,92979,"Dollars",0
"549","Pitkin","CO",2012,109444,"Dollars",0
"550","Pitkin","CO",2013,102196,"Dollars",0
"551","Pitkin","CO",2014,123247,"Dollars",0
"552","Pitkin","CO",2015,128877,"Dollars",0
"553","Prowers","CO",2004,25489,"Dollars",0
"554","Prowers","CO",2005,26312,"Dollars",0
"555","Prowers","CO",2006,26033,"Dollars",0
"556","Prowers","CO",2007,28555,"Dollars",0
"557","Prowers","CO",2008,29630,"Dollars",0
"558","Prowers","CO",2009,30880,"Dollars",0
"559","Prowers","CO",2010,32315,"Dollars",0
"560","Prowers","CO",2011,33713,"Dollars",0
"561","Prowers","CO",2012,34808,"Dollars",0
"562","Prowers","CO",2013,37410,"Dollars",0
"563","Prowers","CO",2014,37721,"Dollars",0
"564","Prowers","CO",2015,39780,"Dollars",0
"565","Pueblo","CO",2004,25977,"Dollars",0
"566","Pueblo","CO",2005,26456,"Dollars",0
"567","Pueblo","CO",2006,27277,"Dollars",0
"568","Pueblo","CO",2007,28814,"Dollars",0
"569","Pueblo","CO",2008,28571,"Dollars",0
"570","Pueblo","CO",2009,28579,"Dollars",0
"571","Pueblo","CO",2010,29348,"Dollars",0
"572","Pueblo","CO",2011,30404,"Dollars",0
"573","Pueblo","CO",2012,31099,"Dollars",0
"574","Pueblo","CO",2013,31636,"Dollars",0
"575","Pueblo","CO",2014,33241,"Dollars",0
"576","Pueblo","CO",2015,34564,"Dollars",0
"577","Rio Blanco","CO",2004,28537,"Dollars",0
"578","Rio Blanco","CO",2005,33494,"Dollars",0
"579","Rio Blanco","CO",2006,36283,"Dollars",0
"580","Rio Blanco","CO",2007,40319,"Dollars",0
"581","Rio Blanco","CO",2008,41636,"Dollars",0
"582","Rio Blanco","CO",2009,38956,"Dollars",0
"583","Rio Blanco","CO",2010,39511,"Dollars",0
"584","Rio Blanco","CO",2011,41181,"Dollars",0
"585","Rio Blanco","CO",2012,42094,"Dollars",0
"586","Rio Blanco","CO",2013,43248,"Dollars",0
"587","Rio Blanco","CO",2014,45535,"Dollars",0
"588","Rio Blanco","CO",2015,44766,"Dollars",0
"589","Rio Grande","CO",2004,24426,"Dollars",0
"590","Rio Grande","CO",2005,25694,"Dollars",0
"591","Rio Grande","CO",2006,26741,"Dollars",0
"592","Rio Grande","CO",2007,29399,"Dollars",0
"593","Rio Grande","CO",2008,31435,"Dollars",0
"594","Rio Grande","CO",2009,31520,"Dollars",0
"595","Rio Grande","CO",2010,31272,"Dollars",0
"596","Rio Grande","CO",2011,33829,"Dollars",0
"597","Rio Grande","CO",2012,33895,"Dollars",0
"598","Rio Grande","CO",2013,35794,"Dollars",0
"599","Rio Grande","CO",2014,37816,"Dollars",0
"600","Rio Grande","CO",2015,40756,"Dollars",0
"601","Routt","CO",2013,60346,"Dollars",0
"602","Routt","CO",2014,65179,"Dollars",0
"603","Routt","CO",2015,69611,"Dollars",0
"604","Routt","CO",2004,45723,"Dollars",0
"605","Routt","CO",2005,46768,"Dollars",0
"606","Routt","CO",2006,49051,"Dollars",0
